Name,Country,ID,Temperature,Latitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Severo-Kurilsk,RU,2121385,22.2,50.68,100,56,14.79
Virginia Beach,US,4791259,46.71,36.85,100,90,3.36
Arraial do Cabo,BR,3471451,79.35,-22.97,88,20,12.77
Oranjemund,ZA,3354071,62.7,-28.55,97,92,11.54
New Norfolk,AU,2155415,73.4,-42.78,43,0,14.99
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Azul,AR,3436199,62.29,-36.78,93,24,7.52
Ahipara,NZ,2194098,66.3,-35.17,88,88,23.06
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Albany,US,5106834,32.34,42.65,74,90,5.82
Luena,AO,3347719,62.7,-11.78,98,88,3.38
Nyurba,RU,2018735,10.18,63.29,79,76,5.61
Poso,ID,1630723,78.67,-1.4,100,92,2.59
Srednekolymsk,RU,2121025,-16.69,67.46,72,44,3.49
Eureka,US,5563397,45.68,40.8,100,90,4.7
Noumea,NC,2139521,84.2,-22.28,66,75,19.46
Hermanus,ZA,3366880,58.06,-34.42,95,88,1.92
Longyearbyen,NO,2729907,10.4,78.22,78,20,16.11
Hilo,US,5855927,71.6,19.71,94,90,9.17
Half Moon Bay,US,5354943,51.37,37.46,71,75,5.82
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Castro,CL,3896218,42.8,-42.48,87,20,6.93
Torbay,CA,6167817,6.8,47.66,65,75,20.8
Vao,EE,588365,30.79,59.1,95,8,6.4
Nome,US,4732862,55.85,30.04,82,1,6.96
Port Alfred,ZA,964432,68.77,-33.59,97,48,10.98
Pozo Colorado,PY,3437443,91.36,-23.49,45,0,14.12
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Upernavik,GL,3418910,3.57,72.79,100,32,23.29
Cape Town,ZA,3369157,66.2,-33.93,100,75,11.41
Nioro,GM,2413070,71.97,13.79,26,48,10.98
Thompson,CA,6165406,-0.41,55.74,77,90,9.17
Najran,SA,103630,64.4,17.54,68,40,3.15
Vaini,IN,1273574,86.0,15.34,25,0,3.6
Peterhead,AU,2078025,89.6,-34.83,35,0,12.75
Padang,ID,1633419,86.0,-0.92,70,20,4.7
Port Alfred,ZA,964432,68.77,-33.59,97,48,10.98
Port-Gentil,GA,2396518,81.15,-0.72,97,36,5.39
Faanui,PF,4034551,83.76,-16.48,99,24,12.66
Deputatskiy,RU,2028164,-32.17,69.3,51,8,2.59
Vao,EE,588365,30.79,59.1,95,8,6.4
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Evensk,RU,2125693,0.6,61.92,100,64,4.16
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Ca Mau,VN,1586443,85.74,9.18,68,0,8.63
Nabire,ID,1634614,78.0,-3.36,88,20,2.59
Shache,CN,1280037,26.79,38.42,83,76,6.73
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Urucara,BR,3385670,76.2,-2.54,94,8,3.71
Shelburne,CA,6145890,33.26,44.08,86,90,10.29
Sitka,US,4267710,31.78,37.17,70,0,20.15
Albany,US,5106834,32.34,42.65,74,90,5.82
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Sao Joao da Barra,BR,3448903,82.81,-21.64,95,12,19.04
New Norfolk,AU,2155415,73.4,-42.78,43,0,14.99
Mana,RS,789988,17.4,43.52,79,75,1.12
Tahe,CN,2034615,20.98,52.34,55,80,11.43
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Raudeberg,NO,3146487,46.4,61.99,87,92,19.46
Cilegon,ID,1627549,86.0,-6.02,74,40,8.05
Carnarvon,ZA,1014034,54.51,-30.97,50,8,2.71
Puerto Ayora,EC,3652764,77.77,-0.74,100,56,4.38
Beaupre,CA,6325479,12.15,47.04,85,75,5.82
Salinopolis,BR,3389822,79.17,-0.61,100,80,10.65
Bethel,US,5880568,36.5,60.79,51,1,20.8
Balakhta,RU,1510998,13.51,55.38,67,8,3.04
Makakilo City,US,5850554,74.3,21.35,69,75,5.82
Deputatskiy,RU,2028164,-32.17,69.3,51,8,2.59
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Hobart,AU,2163355,73.4,-42.88,43,0,14.99
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Tigil,RU,2120612,-1.48,57.8,78,56,4.16
Puerto Ayora,EC,3652764,77.77,-0.74,100,56,4.38
Fortuna,ES,2517679,44.6,38.18,77,0,2.24
Barrow,AR,3833859,60.31,-38.31,59,0,15.79
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Buritis,BR,3468732,72.64,-15.62,83,12,3.49
Hermanus,ZA,3366880,58.06,-34.42,95,88,1.92
Kapaa,US,5848280,75.2,22.08,60,1,13.87
Cape Town,ZA,3369157,66.2,-33.93,100,75,11.41
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Kruisfontein,ZA,986717,64.32,-34.0,86,68,5.61
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Bambous Virieux,MU,1106677,80.6,-20.34,88,40,5.17
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Arraial do Cabo,BR,3471451,79.35,-22.97,88,20,12.77
Pisco,PE,3932145,73.4,-13.71,78,75,6.93
Saldanha,PT,2737599,32.19,41.42,77,0,4.16
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Castro,CL,3896218,42.8,-42.48,87,20,6.93
Lagoa,PT,2267254,50.0,37.14,81,0,3.36
Airai,TL,1651810,84.88,-8.93,56,0,1.03
Guerrero Negro,MX,4021858,48.75,27.97,78,0,9.42
Albany,US,5106834,32.34,42.65,74,90,5.82
Boende,CD,218680,71.92,-0.28,94,8,2.04
Upernavik,GL,3418910,3.57,72.79,100,32,23.29
Komsomolskiy,RU,1486910,8.02,67.55,78,92,17.25
Albany,US,5106834,32.34,42.65,74,90,5.82
Husavik,CA,5961417,12.3,50.56,83,68,8.75
Longyearbyen,NO,2729907,10.4,78.22,78,20,16.11
Inongo,CD,2315417,71.34,-1.93,96,48,2.37
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Verkhnyaya Maksakovka,RU,474603,17.6,61.63,92,90,6.71
Manzhouli,CN,2035836,20.67,49.6,39,0,14.56
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Pevek,RU,2122090,-9.89,69.7,100,88,14.67
Gat,SN,2249901,77.0,14.69,13,0,12.75
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Cape Town,ZA,3369157,66.2,-33.93,100,75,11.41
Senneterre,CA,6144195,26.6,48.39,86,90,9.17
Panaba,MX,3521972,78.76,21.28,66,68,8.08
Rumonge,BI,423549,67.06,-3.97,100,8,1.14
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Vardo,US,4372777,35.29,39.62,97,90,4.7
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Yuanping,CN,1786060,43.66,38.72,35,0,2.48
Morehead,US,4301307,53.6,38.18,100,90,5.82
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Magaria,NE,2441482,64.86,13.0,29,0,7.74
Kroya,ID,7870153,80.97,-6.5,93,68,2.93
Mogadishu,SO,53654,80.07,2.04,99,76,18.03
Kapaa,US,5848280,75.2,22.08,60,1,13.87
San Andres,PH,1690438,79.21,13.32,99,0,8.08
Sosva,RU,1491267,12.79,59.17,77,24,4.72
Pointe Michel,DM,3575660,76.56,15.25,96,80,20.04
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Cherskiy,RU,2126199,-18.62,68.75,79,32,5.61
Maceio,BR,3395981,75.2,-9.67,94,0,4.7
Hermanus,ZA,3366880,58.06,-34.42,95,88,1.92
Adrar,DZ,2508813,48.2,27.87,26,0,6.93
Chuy,UY,3443061,71.02,-33.69,100,80,4.5
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Mar del Plata,AR,3863379,54.01,-46.43,61,56,17.25
Provideniya,RU,4031574,32.23,64.42,95,92,32.68
Aklavik,CA,5882953,-0.41,68.22,64,90,5.82
Ossora,RU,2122389,3.34,59.24,100,56,7.07
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Haines Junction,CA,5969025,-7.87,60.75,70,0,1.48
Codrington,AU,2160063,79.12,-28.95,42,92,17.22
Lypova Dolyna,UA,703015,10.86,50.56,72,76,3.38
Olinda,EC,3650121,77.0,-2.03,94,90,6.93
Saint-Joseph,FR,3037456,38.19,43.56,86,0,3.36
Acari,BR,3390864,71.79,-6.44,86,20,4.94
Aksu,KZ,1524298,3.2,52.04,91,0,4.47
Petropavlovsk-Kamchatskiy,RU,2122104,19.4,53.05,31,0,15.66
Chertkovo,RU,568429,10.32,49.38,87,48,4.61
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Cayenne,GF,3382160,78.8,4.94,74,90,9.17
Nyurba,RU,2018735,10.18,63.29,79,76,5.61
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Ust-Maya,RU,2013918,-13.67,60.42,61,0,2.71
Nikolskoye,RU,546105,33.8,59.7,100,90,6.71
Coihaique,CL,3894426,42.62,-45.58,65,0,2.24
Yellowknife,CA,6185377,-22.01,62.45,74,5,6.93
Georgetown,GY,3378644,73.4,6.8,88,20,4.7
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Leningradskiy,RU,2123814,-4.04,69.38,100,88,3.94
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Bredasdorp,ZA,1015776,64.4,-34.53,88,80,3.36
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Beringovskiy,RU,2126710,32.77,63.05,96,92,24.07
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Saint George,GR,262462,33.8,39.45,86,90,5.82
Tiksi,RU,2015306,-12.37,71.64,57,0,16.69
Albany,US,5106834,32.34,42.65,74,90,5.82
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Carnarvon,ZA,1014034,54.51,-30.97,50,8,2.71
Novyy Urgal,RU,2047258,19.95,51.07,86,88,3.94
San Quintin,PH,1688687,81.51,17.54,50,0,3.38
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Hithadhoo,MV,1282256,83.04,-0.6,100,56,8.52
Ponta do Sol,BR,3453439,67.51,-20.63,84,8,2.71
Tasiilaq,GL,3424607,28.4,65.61,58,0,8.05
Kavos,GR,256824,33.8,38.83,100,90,5.82
Skrunda,LV,455520,33.8,56.68,100,0,2.24
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Pizarro,CO,3672086,78.58,4.95,88,88,3.38
Albany,US,5106834,32.34,42.65,74,90,5.82
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Ciro Marina,IT,2524979,48.97,39.37,100,68,25.75
Hithadhoo,MV,1282256,83.04,-0.6,100,56,8.52
Hithadhoo,MV,1282256,83.04,-0.6,100,56,8.52
Chuy,UY,3443061,71.02,-33.69,100,80,4.5
Kysyl-Syr,RU,2021017,-5.08,63.9,80,48,3.94
Puerto Ayora,EC,3652764,77.77,-0.74,100,56,4.38
Provideniya,RU,4031574,32.23,64.42,95,92,32.68
Nikolskoye,RU,546105,33.8,59.7,100,90,6.71
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Saskylakh,RU,2017155,-8.77,71.97,64,64,18.59
Darnah,LY,87205,59.82,32.77,100,36,16.13
Buchanan,LR,2278158,77.0,5.88,94,75,12.1
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Yellowknife,CA,6185377,-22.01,62.45,74,5,6.93
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Vaini,IN,1273574,86.0,15.34,25,0,3.6
Rylsk,RU,695019,15.94,51.57,83,88,9.53
Namibe,AO,3347019,75.34,-15.19,100,76,6.4
Luderitz,NA,3355672,59.59,-26.65,95,0,8.41
Rawson,AR,3839307,50.14,-43.3,34,0,7.74
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Constitucion,MX,4011743,55.4,23.99,20,75,2.24
San Cristobal,EC,3652462,56.25,-0.39,93,90,2.24
Mezhdurechensk,RU,1498920,10.05,53.69,64,0,2.15
Lufilufi,WS,4035249,82.4,-13.87,88,75,3.36
Hobart,AU,2163355,73.4,-42.88,43,0,14.99
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Qaanaaq,GL,3831208,-20.2,77.48,100,0,7.96
Itarema,BR,3393692,75.52,-2.92,97,92,2.59
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Fukue,JP,1848373,50.0,35.03,43,75,10.29
Castro,CL,3896218,42.8,-42.48,87,20,6.93
Albany,US,5106834,32.34,42.65,74,90,5.82
Cayenne,GF,3382160,78.8,4.94,74,90,9.17
Port Alfred,ZA,964432,68.77,-33.59,97,48,10.98
Jamestown,AU,2069194,88.62,-33.21,26,0,10.09
Nanortalik,GL,3421765,23.19,60.14,100,88,13.78
Avera,US,4231997,48.56,33.19,93,90,5.82
Airai,TL,1651810,84.88,-8.93,56,0,1.03
Girona,ES,3121456,39.2,41.98,100,36,6.4
Matadi,CD,2313002,70.17,-5.83,100,12,2.04
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Albany,US,5106834,32.34,42.65,74,90,5.82
Bredasdorp,ZA,1015776,64.4,-34.53,88,80,3.36
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Port Alfred,ZA,964432,68.77,-33.59,97,48,10.98
Mocuba,MZ,1024312,68.1,-16.84,90,8,3.94
Jiaocheng,CN,1806041,51.0,24.68,94,100,2.59
Port Elizabeth,US,4501427,38.86,39.31,93,90,13.87
Port Macquarie,AU,2152659,74.21,-31.43,53,40,17.22
Carnarvon,ZA,1014034,54.51,-30.97,50,8,2.71
Murgab,TM,1218612,41.0,37.5,68,0,4.7
Hobyo,SO,57000,77.19,5.35,84,92,14.56
Kasongo-Lunda,CD,2315026,66.79,-6.48,96,88,0.92
Progreso,UY,3440963,69.8,-34.68,94,0,2.24
Katsuura,JP,1865309,48.99,33.93,69,75,6.93
Ayan,TR,749747,29.44,40.67,89,92,2.15
Novikovo,UA,712587,22.33,45.05,100,76,9.42
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Shimoda,JP,1852357,52.95,34.7,40,75,6.93
Albany,US,5106834,32.34,42.65,74,90,5.82
Vostok,RU,2013279,31.87,46.45,59,88,8.41
Carutapera,BR,3402648,77.77,-1.2,94,88,6.06
Mbanza-Ngungu,CD,2312888,66.75,-5.25,89,32,2.59
Karpathos,GR,260895,57.2,35.51,67,44,12.75
Ancud,CL,3899695,42.8,-41.87,87,20,6.93
Ramotswa,BW,933141,71.6,-24.87,56,0,3.36
Hithadhoo,MV,1282256,83.04,-0.6,100,56,8.52
Nikolskoye,RU,546105,33.8,59.7,100,90,6.71
Mago,RU,2123621,15.72,53.27,57,24,4.5
Butaritari,KI,2110227,81.87,3.07,100,48,12.55
Bajil,ES,2513562,31.69,38.23,78,0,2.59
Tanout,NE,2439155,63.19,14.97,19,0,7.96
Hobart,AU,2163355,73.4,-42.88,43,0,14.99
Jining,CN,1805518,51.04,35.41,61,44,4.5
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Barrow,AR,3833859,60.31,-38.31,59,0,15.79
Beringovskiy,RU,2126710,32.77,63.05,96,92,24.07
Tuatapere,NZ,2180815,51.76,-46.13,100,88,13.11
Kristianstad,SE,2699310,34.39,56.03,64,0,3.36
Sabang,PH,1691355,80.56,13.72,78,20,7.96
Vaini,IN,1273574,86.0,15.34,25,0,3.6
Oyama,JP,1853483,51.4,36.31,30,75,11.41
Vaini,IN,1273574,86.0,15.34,25,0,3.6
Castro,CL,3896218,42.8,-42.48,87,20,6.93
Viedma,AR,3832899,58.74,-40.81,37,0,14.56
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Sovetskiy,RU,490040,9.82,56.76,81,88,11.21
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Mar del Plata,AR,3863379,54.01,-46.43,61,56,17.25
Dikson,RU,1507390,-0.22,73.51,96,80,29.89
Butaritari,KI,2110227,81.87,3.07,100,48,12.55
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Camopi,GF,3382226,73.77,3.17,98,92,2.48
Cabo San Lucas,MX,3985710,62.11,22.89,58,5,5.82
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Karratha,AU,6620339,101.98,-20.74,28,12,4.61
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Oistins,BB,3373652,77.0,13.07,73,40,19.46
Barrow,AR,3833859,60.31,-38.31,59,0,15.79
Sinegorye,RU,2121197,-15.47,62.09,60,44,2.59
Bredasdorp,ZA,1015776,64.4,-34.53,88,80,3.36
Mercedes,UY,3441684,70.12,-33.25,99,92,10.65
Mar del Plata,AR,3863379,54.01,-46.43,61,56,17.25
Beringovskiy,RU,2126710,32.77,63.05,96,92,24.07
Chhindwara,IN,1274304,65.85,22.06,57,56,3.38
Manokwari,ID,1636308,80.11,-0.87,100,64,8.97
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Yellowknife,CA,6185377,-22.01,62.45,74,5,6.93
Albany,US,5106834,32.34,42.65,74,90,5.82
Sao Joao da Barra,BR,3448903,82.81,-21.64,95,12,19.04
Deurne,BE,2803138,36.07,51.21,92,0,3.36
Qaanaaq,GL,3831208,-20.2,77.48,100,0,7.96
Esperance,TT,3573739,73.4,10.24,88,20,6.51
Vila Velha,BR,6320062,75.2,-3.71,94,90,4.7
Longyearbyen,NO,2729907,10.4,78.22,78,20,16.11
Banda Aceh,ID,1215502,81.15,5.56,95,32,2.48
Deputatskiy,RU,2028164,-32.17,69.3,51,8,2.59
Carmen,PH,1718338,90.73,7.2,43,0,3.94
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Dikson,RU,1507390,-0.22,73.51,96,80,29.89
Vaini,IN,1273574,86.0,15.34,25,0,3.6
Kapaa,US,5848280,75.2,22.08,60,1,13.87
Leh,IN,1264976,-7.06,34.16,79,68,0.92
Albany,US,5106834,32.34,42.65,74,90,5.82
Grindavik,IS,3416888,35.6,63.84,69,90,5.82
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Qaanaaq,GL,3831208,-20.2,77.48,100,0,7.96
Osypenko,UA,699329,12.2,48.04,78,0,7.63
Yumen,CN,1528998,29.08,40.29,70,76,6.4
Cayenne,GF,3382160,78.8,4.94,74,90,9.17
Kodiak,US,4407665,30.2,39.95,80,90,31.09
La Romana,DO,3500957,77.0,18.43,78,20,17.22
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Taltal,CL,3870243,56.76,-25.41,90,0,0.69
Provideniya,RU,4031574,32.23,64.42,95,92,32.68
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Half Moon Bay,US,5354943,51.37,37.46,71,75,5.82
New Norfolk,AU,2155415,73.4,-42.78,43,0,14.99
Vao,EE,588365,30.79,59.1,95,8,6.4
Bubaque,GW,2374583,80.34,11.28,89,32,14.12
Saint-Georges,CA,6295855,12.97,46.12,69,48,2.37
Mildura,AU,2157698,93.2,-34.18,14,0,11.41
Nara,JP,1855612,49.98,34.68,69,75,5.82
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Maceio,BR,3395981,75.2,-9.67,94,0,4.7
Cidreira,BR,3466165,77.41,-30.17,69,8,8.52
Dikson,RU,1507390,-0.22,73.51,96,80,29.89
Ballina,IE,2966778,40.29,54.11,98,20,9.98
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Bambous Virieux,MU,1106677,80.6,-20.34,88,40,5.17
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Alyangula,AU,2079582,93.2,-13.85,49,40,9.17
Turbat,PK,1163054,51.27,26.0,86,0,2.71
Pochutla,MX,3517970,78.31,15.74,100,24,5.61
Pisco,PE,3932145,73.4,-13.71,78,75,6.93
Port Alfred,ZA,964432,68.77,-33.59,97,48,10.98
Oriximina,BR,3393471,74.98,-1.77,98,76,4.5
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Butaritari,KI,2110227,81.87,3.07,100,48,12.55
Dikson,RU,1507390,-0.22,73.51,96,80,29.89
Boa Vista,BR,3664980,80.6,2.82,47,0,11.41
Cidreira,BR,3466165,77.41,-30.17,69,8,8.52
Punta Arenas,CL,3874787,37.4,-53.16,64,75,13.87
Portland,US,5746545,40.3,45.52,87,90,3.49
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Sola,FI,643453,26.6,62.78,100,90,2.24
Saskylakh,RU,2017155,-8.77,71.97,64,64,18.59
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Kutum,SD,371745,59.82,14.2,35,8,10.54
Ribeira Grande,PT,3372707,61.66,38.52,93,80,27.87
Arraial do Cabo,BR,3471451,79.35,-22.97,88,20,12.77
Arlit,NE,2447513,53.97,18.74,40,0,10.2
Albany,US,5106834,32.34,42.65,74,90,5.82
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Panguna,PG,2088659,82.14,-6.32,87,36,3.71
Nikolskoye,RU,546105,33.8,59.7,100,90,6.71
Vaini,IN,1273574,86.0,15.34,25,0,3.6
Shubarshi,KZ,608270,3.43,48.59,72,36,3.04
Dikson,RU,1507390,-0.22,73.51,96,80,29.89
Calvinia,ZA,3369174,47.94,-31.47,81,0,2.59
Tuktoyaktuk,CA,6170031,-7.61,69.44,76,75,10.29
Albany,US,5106834,32.34,42.65,74,90,5.82
Mahibadhoo,MV,1337605,81.51,3.78,100,8,10.42
Mahebourg,MU,934322,80.6,-20.41,88,40,5.17
Puerto Ayora,EC,3652764,77.77,-0.74,100,56,4.38
Ola,RU,2122574,1.27,59.58,100,0,10.98
Georgetown,GY,3378644,73.4,6.8,88,20,4.7
Kahului,US,5847411,73.89,20.89,69,40,10.29
Lompoc,US,5367788,48.88,34.64,65,1,4.94
Lamu,ID,1623890,84.16,0.57,80,12,1.03
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Albany,US,5106834,32.34,42.65,74,90,5.82
Sao Miguel do Araguaia,BR,3448455,75.57,-13.28,96,48,7.07
Clyde River,CA,5924351,-18.41,70.47,75,1,5.82
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
San Rafael,AR,3836669,64.18,-34.61,26,0,6.73
Baiao,BR,3406844,74.44,-2.79,96,88,1.92
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Provideniya,RU,4031574,32.23,64.42,95,92,32.68
Vao,EE,588365,30.79,59.1,95,8,6.4
Ponta do Sol,BR,3453439,67.51,-20.63,84,8,2.71
Jamestown,AU,2069194,88.62,-33.21,26,0,10.09
Portland,US,5746545,40.3,45.52,87,90,3.49
Uvat,RU,1487939,18.06,59.14,89,68,4.61
Hilo,US,5855927,71.6,19.71,94,90,9.17
Severo-Kurilsk,RU,2121385,22.2,50.68,100,56,14.79
Fiumicino,IT,3176923,38.46,41.77,41,0,18.34
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Yellowknife,CA,6185377,-22.01,62.45,74,5,6.93
Lagoa,PT,2267254,50.0,37.14,81,0,3.36
